title,plot,type,runtime,genre,vector
10 Things I Hate About You,"A pretty, popular teenager can't go out on a date until her ill-tempered older sister does.",movie,97 min,"Comedy, Drama, Romance","[-0.10526928 -0.30139765 -0.06806461  0.5852053   0.49932408 -0.35500112
  0.71514875 -0.00694232  0.21409035 -0.23410402 -0.2585087  -0.16380842
 -0.26583868  0.26957488 -0.38083974 -0.11976882 -0.59584385  0.22959334
 -0.48596385 -0.12238681 -0.22815554  0.06735674 -0.13410358 -0.11910939
 -0.40352663 -0.5232035  -0.18365891  0.26992178 -0.3631558   0.57120556
  0.36851254 -0.0067243  -0.08643093 -0.4622186  -0.6668151   0.0474479
 -0.44484994  0.26087666  0.24226432  0.5095544  -0.6560829  -0.09389511
 -0.23422594  0.22410518 -0.15100016 -0.11599288  0.24761994  0.09942511
  0.11295625 -0.30129513  0.15231217  0.13129829 -0.28364888 -0.37713826
  0.2126553  -0.7096701   0.6459231  -0.67866236 -0.04747027 -0.08134029
  0.5481863  -0.1545822   0.02364281 -0.5003395  -0.19897266  0.32311532
 -0.08144311  0.64662665  0.23383813  0.22377819 -0.24595366 -0.2579926
  0.55906564 -0.39215934 -0.07650793 -0.0972765  -0.29649678  0.2560668
 -0.21727668  0.0639863  -0.2671962  -0.30255356  0.37578598 -0.06357823
 -0.0457093   0.06084171 -0.40170166  0.18534403  0.5554387   0.6995819
  0.07391519  0.11818405  0.35488403  0.3967042  -0.22675921  0.4287549 ]"
101 Dalmatians,"An evil high-fashion designer plots to steal Dalmatian puppies in order to make an extravagant fur coat, but instead creates an extravagant mess.",movie,103 min,"Adventure, Comedy, Crime, Family","[ 2.02624559e-01  9.67978358e-01  8.45845193e-02  4.46295053e-01
  1.68533921e+00 -3.28796506e-02  4.67747688e-01 -4.32387143e-01
 -1.07918128e-01  3.22663039e-02 -8.84225368e-02  4.36129868e-01
 -2.22151637e-01 -3.31251919e-01 -7.30623126e-01  2.69619852e-01
 -1.09081435e+00  3.19046348e-01  2.29903519e-01 -1.02894509e+00
 -6.80463254e-01 -4.02571738e-01 -1.37967587e-01  2.84626514e-01
  8.04572701e-02 -5.30896664e-01 -6.95167184e-02 -1.76363021e-01
 -6.30775452e-01  5.15861630e-01  7.02920496e-01 -4.20744210e-01
  4.85369861e-02 -8.45643163e-01 -6.46588981e-01  1.87195718e-01
 -3.19587290e-01  1.70485604e+00 -3.59093517e-01  4.97829825e-01
 -3.87864769e-01 -5.30592561e-01 -1.09927900e-01  2.02587947e-01
  4.84499633e-01 -5.94286799e-01  1.23874769e-01 -3.92991781e-01
 -3.79854918e-01 -1.07828133e-01  3.20098490e-01 -1.17718786e-01
 -6.06651187e-01 -4.87995356e-01  3.06302309e-03  1.43289149e-01
  2.71486759e-01 -3.45244914e-01  5.64552665e-01  4.62683946e-01
  1.30407587e-01 -1.99742183e-01  5.80481470e-01 -1.26163614e+00
 -2.59714723e-01  6.23352647e-01  1.64200366e-01  5.48601568e-01
 -2.32168019e-01 -3.44245046e-01  3.49939406e-01  2.81362563e-01
 -6.56856596e-03  1.16108209e-01 -4.09007072e-04 -5.76792777e-01
  1.07857443e-01 -7.21473277e-01 -6.36973977e-01  1.39782950e-02
  4.98640269e-01  3.87143970e-01 -2.23434314e-01  2.06795752e-01
  2.05078363e-01  1.95103526e-01 -3.86573285e-01 -7.36794591e-01
 -3.30973804e-01  1.17203653e+00 -1.75426573e-01  5.86673617e-02
  4.54128981e-01  2.61360645e-01  5.37857294e-01 -5.03601789e-01]"
102 Dalmatians,Cruella DeVil gets out of prison and goes after the puppies once more.,movie,100 min,"Adventure, Comedy, Family","[ 0.29147112  0.7779859   0.69070065  0.6019331   1.4806418  -0.1127587
  0.444091   -0.2945434  -0.34887365 -0.01782832 -0.02503279  0.17929846
 -0.25171527 -0.16775751 -0.68881     0.5214691  -1.1475457   0.37234056
 -0.32757884 -1.1587907  -0.47835165 -0.64208174 -0.19492285  0.33644783
 -0.1230422  -0.28917754 -0.02940844 -0.48653296 -0.05842309  0.9888416
  0.6168995  -0.47257584  0.22276635 -1.0827107  -0.57221365  0.02486837
 -0.18714854  1.7361193  -0.11537924 -0.0581063  -0.66866326 -0.2966187
 -0.08590579  0.28743154  0.33517155 -0.2449658   0.17693235  0.077557
 -0.34303743 -0.27985087  0.3796237  -0.02488802 -0.21725924 -0.47595888
  0.3050407  -0.14529508 -0.11496966 -0.653378    0.47271058  0.2846653
 -0.11852787 -0.10358184  0.4160871  -1.264919   -0.17770123  0.31238246
 -0.24443424  0.24307507  0.02249627 -0.36636257  0.16697875  0.24431194
  0.13478702  0.23732997  0.11852819 -0.20964625 -0.12941691 -0.7168848
 -0.41501677  0.2136752   0.05728033  0.45807534 -0.04940885  0.28817123
  0.24305391  0.23005243 -0.12069905 -0.9569221  -0.1412027   0.7360855
 -0.17145278 -0.01706672  0.44965976  0.3665517   0.07497941 -0.260894  ]"
"20,000 Leagues Under the Sea","A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo.",movie,127 min,"Adventure, Drama, Family, Fantasy, Sci-Fi","[ 0.52477235 -0.17428468  0.12282693  0.49008664  0.51296437 -0.2817506
  0.33084235 -0.01841455 -0.23727587 -0.20651369 -0.11415467  0.68396837
  0.04518408  0.47795406 -0.211112   -0.10039406 -0.46975803  0.51993066
 -0.16424166 -0.22626229 -0.6331865   0.01200489 -0.27156353  0.05549458
  0.50478923 -0.23010993  0.31254122 -0.3297232   0.2687245   0.70968
 -0.1351495  -0.12469912  0.19994207 -0.5121292  -0.5047834  -0.0977027
  0.51658744  0.7366899   0.09360833 -0.28390697 -0.2173996   0.07426988
 -0.58299744  0.40977257  0.33276635  0.1511469  -0.00304554 -0.02931302
 -0.07369888 -0.08941003  0.08030261  0.12155782 -0.22532184 -0.01705029
 -0.2552783  -0.05946327  0.06879423 -0.5334228   0.4937684   0.06931283
 -0.52464664 -0.2230238   0.02229577 -0.3639334  -0.10091846  0.09507434
  0.5339626  -0.03852862 -0.72197807  0.14835805  0.17025578  0.06524802
  0.23690684 -0.22871403 -0.15472749 -0.22512516 -0.18278389 -0.21234918
 -0.02442913 -0.22252293 -0.02379385  0.21097472  0.07561451 -0.21710794
 -0.09315127  0.3090491   0.09641316 -0.4723951  -0.30302843  1.0441334
 -0.24199855 -0.29416704  0.26665318  0.11951429 -0.439776    0.03853886]"
A Bug's Life,"A misfit ant, looking for ""warriors"" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe.",movie,95 min,"Animation, Adventure, Comedy, Family","[ 0.02396092 -0.08098125  0.02439005  0.7700805   0.00136159 -0.08124156
  0.72165984  0.47436556  0.24956061 -0.3880517  -0.1938639  -0.08864759
 -0.32298115  0.6497345  -0.4052639   0.5901414  -0.5839268   0.577749
  0.02771047  0.046453   -0.5707297   0.11779755 -0.10899825 -0.2786287
  0.58798486 -0.23957238  0.19733308 -0.06991905  0.407641    1.1480925
  0.08885351 -0.19710141  0.09383906 -0.8802783  -0.17183718 -0.35174292
 -0.04232235  0.26793295  0.46716824  0.17522794 -0.3202333   0.27979106
  0.8848087   0.02205768 -0.11007352  0.0431872  -0.5495695   0.10190356
  0.1677272   0.16606176  0.15198226  0.882135   -0.35955977 -0.15293786
  0.54922676 -0.39012158  0.46543217 -0.08758923  0.07976276 -0.1843731
 -0.5356328   0.20874898 -0.28805092 -0.80191207 -0.2854303  -0.24690652
  0.09610412 -0.15988192 -0.03889042 -0.398152   -0.10735209  0.4226234
  0.43512323 -0.16264653  0.63901305 -0.68100655 -0.5556796  -0.9655302
 -0.05689899 -0.33584163  0.48099044 -0.03363426 -0.27354348 -0.3208297
  0.10747741  0.18800637  0.31012502 -0.26908702 -0.08551607 -0.343942
 -0.9397544  -0.08693434  0.07140714 -0.34593907  0.36027008  0.5599202 ]"
A Kid in King Arthur's Court,A Little League player is sent back into medieval times where he is given the task of saving Camelot.,movie,89 min,"Adventure, Comedy, Family, Fantasy, Romance","[ 0.2527454  -0.46023893 -0.05540869  0.6199542   0.08311874 -0.17766833
  0.7337242   0.4893617   0.40714982 -0.11060899 -0.03328405 -0.07156559
 -0.18713452  0.12928157 -0.483854    0.06532247 -0.2393078   0.66786635
  0.42762452 -0.44474146 -0.6406536   0.3793128  -0.0449414   0.00497357
  0.90743434 -0.00664963 -0.0658526   0.05482737  0.03288345  0.785903
 -0.513856   -0.2230523  -0.21824639 -0.331777   -0.49887726 -0.21679786
  0.17831492  0.6217753   0.21354853 -0.09298463 -0.12801282 -0.13499685
  0.45295468  0.29327467 -0.07706665  0.26315764 -0.29184818  0.5094902
  0.08929229 -0.35511157 -0.45020333  0.78314114 -0.5233069  -0.06700929
 -0.30887812 -0.53380793  0.24236739  0.14611973  0.4140447  -0.01816382
 -0.7205472  -0.05566382  0.09481172 -0.5585547  -0.33419466  0.07556945
  0.629919    0.424175   -0.6455121  -0.35353923  0.0129718   0.01598997
  0.29566577 -0.17049469  0.60597223 -0.6739874  -0.6888083  -0.6006151
  0.10481794 -0.4148674   0.2525926   0.02549819 -0.2897618  -0.26336703
 -0.01290705 -0.08081452  0.10155251 -0.3761249  -0.31647152  0.21364808
 -0.436423    0.12860642  0.42636886 -0.22085822  0.29433182  0.47716722]"
A Wrinkle in Time,"After the disappearance of her scientist father, three peculiar beings send Meg, her brother, and her friend to space in order to find him.",movie,109 min,"Adventure, Family, Fantasy, Sci-Fi","[ 0.2707922  -0.7707432  -0.09664565  0.6655164  -0.6089159  -0.32509527
  0.28670138 -0.07166821  0.02352897  0.36622348  0.09029841 -0.45804548
 -0.32003504  0.35610485 -0.05989885  0.1557228  -0.44827217  0.22426853
  0.1107695  -0.45000297  0.11543229  0.37916088  0.17150779 -0.20619193
  0.13402678 -0.09372658 -0.07879177 -0.35830152  0.63799655  0.9333534
 -0.41553319 -0.02528154 -0.0702001  -0.37069213 -0.73283416 -0.47335494
 -0.03568219  0.62357867  0.49462485  0.168874   -0.43316576  0.14786631
  0.13858947 -0.09806821  0.3538099   0.4033162   0.06594269  0.22826609
  0.40166235  0.11171339 -0.27162477  0.29231185 -0.24675028  0.04011765
 -0.08320642 -1.2368733   0.04480634 -0.14711624  0.03316782  0.01997189
 -0.66741496 -0.22485313  0.25978652 -0.3008515  -0.21802464 -0.05500026
  0.27558264  0.2857777  -0.6564897  -0.19184193 -0.23690325 -0.07200505
  0.3645333  -0.32929188 -0.50035864 -0.5352074  -0.5538038  -0.13609582
  0.25336298 -0.25109288  0.21673386 -0.06205592  0.00632156 -0.17695682
  0.041214    0.17847165  0.15137176  0.04523004 -0.088754    0.8569057
 -0.50656915  0.17373352  0.3291476   0.03105682  0.01320438  0.53529537]"
Aladdin,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,movie,128 min,"Adventure, Family, Fantasy, Musical, Romance","[-0.96325654  0.3086531   0.6613879   0.79655194 -0.5594034  -0.6127088
  0.24474059  1.0927145  -0.45279482 -1.3317072   0.45774406 -0.4610407
  0.16894555  0.0024569  -0.39911926 -0.0538269  -0.7137987  -0.5822803
  0.2637751  -0.06155998 -1.4277358   0.57371616 -0.9235175  -0.19935523
  0.33087325  0.36084163  0.58220005 -0.01776361 -0.31344613  1.4931358
  0.05722195 -0.19635904 -0.40852186  0.19290985 -0.78628856 -0.31495696
 -0.44767547  0.8149614   0.8146515   0.61572224  0.09915036 -0.5295099
  0.01094061 -0.49219987 -0.14682442 -0.4650581  -0.43999502 -0.07839207
 -0.7187574  -1.0707794   1.466475    0.43089408 -0.04179345 -0.22175735
 -0.5114976   0.52164686  1.1496425  -0.9166378   0.7505378  -0.4905886
 -0.96510303 -0.10799498  0.33047205 -0.11866437  0.02973267 -0.1743001
  0.35559356 -1.0010552   0.30485618 -0.2889911  -0.5820802  -0.03116769
  0.34443626 -0.08275662 -0.32926837  0.5136389  -0.50927645  1.0095694
 -0.54103076 -0.6572119  -0.43237337  0.43483144 -0.59420043 -0.3215577
  1.1028538   1.489208    0.5975391  -0.32678124  2.1654315   1.4314283
 -0.15339844  0.24573855 -0.70685166  0.25497615 -0.84927875  0.629295  ]"
Aladdin,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,movie,90 min,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance","[-0.96325654  0.3086531   0.6613879   0.79655194 -0.5594034  -0.6127088
  0.24474059  1.0927145  -0.45279482 -1.3317072   0.45774406 -0.4610407
  0.16894555  0.0024569  -0.39911926 -0.0538269  -0.7137987  -0.5822803
  0.2637751  -0.06155998 -1.4277358   0.57371616 -0.9235175  -0.19935523
  0.33087325  0.36084163  0.58220005 -0.01776361 -0.31344613  1.4931358
  0.05722195 -0.19635904 -0.40852186  0.19290985 -0.78628856 -0.31495696
 -0.44767547  0.8149614   0.8146515   0.61572224  0.09915036 -0.5295099
  0.01094061 -0.49219987 -0.14682442 -0.4650581  -0.43999502 -0.07839207
 -0.7187574  -1.0707794   1.466475    0.43089408 -0.04179345 -0.22175735
 -0.5114976   0.52164686  1.1496425  -0.9166378   0.7505378  -0.4905886
 -0.96510303 -0.10799498  0.33047205 -0.11866437  0.02973267 -0.1743001
  0.35559356 -1.0010552   0.30485618 -0.2889911  -0.5820802  -0.03116769
  0.34443626 -0.08275662 -0.32926837  0.5136389  -0.50927645  1.0095694
 -0.54103076 -0.6572119  -0.43237337  0.43483144 -0.59420043 -0.3215577
  1.1028538   1.489208    0.5975391  -0.32678124  2.1654315   1.4314283
 -0.15339844  0.24573855 -0.70685166  0.25497615 -0.84927875  0.629295  ]"
Alice in Wonderland,Alice stumbles into the world of Wonderland. Will she get home? Not if the Queen of Hearts has her way.,movie,75 min,"Animation, Adventure, Family, Fantasy, Musical","[-0.11634741 -0.7184674   0.05016694  0.41519347 -0.41886425 -0.19745839
  0.8373153   0.21222548  0.5526697  -0.08885512  0.1907382  -0.11107121
 -0.5692695  -0.14239128 -0.25030378  0.18567728 -0.66758543  0.11453658
  0.15231231  0.04091368 -0.22542591  0.7879732  -0.06292133 -0.24030028
  0.6576931   0.01755628 -0.11011124 -0.1543635  -0.02678869  0.8254197
 -0.6423628  -0.0660288  -0.0738466   0.15105686 -0.49193606 -0.33246967
  0.1322505   0.4479774   0.8258253   0.07625392 -0.75799817 -0.15613586
  0.2755586  -0.37454078  0.25915387  0.5962155   0.06205549  0.4907485
  0.35174003 -0.01201971 -0.00778568 -0.2084781  -0.77018505 -0.24156791
 -0.4013367  -0.64528674  0.33854422 -0.2990996   0.26490694 -0.04735257
 -0.5737355  -0.04305685  0.12737611 -0.30609474 -0.3785638  -0.11240757
  0.32469535 -0.06884541 -0.407758   -0.13786381 -0.5216157  -0.15967052
  1.145075   -0.43069538 -0.34884742 -0.7588962  -0.73326236 -0.04153957
  0.06264731 -0.03455574  0.7047284  -0.15126362 -0.4977791  -0.39866778
  0.4803064   0.32087475 -0.20120214  0.0832707  -0.1687253   1.0171169
 -0.27840498  0.2635211   0.38593575  0.08429613  0.14432788  0.43821764]"
